index,name,type,category,Courriel,Type.1,Région,Periodicité,Province,Ville,Catégorie,Groupe de presse,Télécopieur,Site web,Code postal,Spécialisations,Téléphone,Adresse
454,Guide Debeur,Pér,Indépendant,tdebeur@debeur.com,Pér,Montérégie,Annuel,QC,Brossard,,Indépendant,450 466-7730,http://www.debeur.com/,J4W 1R6,Alimentation - vin,450 465-1700,"855, Verdure "
455,Guyane-Québec,,Indépendant,tdacougnia.ascgq.sympatico.ca,,Montréal,4 fois l'an,QC,Montréal,Média ethnique,Indépendant,514 326-2267,www.guyane-quebec.org,H1S 2Z4,,514 326-3257,"B.P. 484, succursale Jean Talon "
456,H Magazine,Magazine,Ind./Petit groupe,,Magazine,Montréal,6 fois l'an,QC,Montréal,,Ind./Petit groupe,514-394-7157,hmagazine.ca,H2J 1P1,,514 394-7708,"831, Gilford "
457,Haïti Nouvelle,Hebdo régional,,,Hebdo régional,Montréal,,QC,Montréal,,,(514) 389-2816,,H2P 1Z5,,(514) 389-2816,"8490, Saint-Hubert, #102 "
458,Habitabec Plus,Périodique,Independant,,Périodique,Montréal,Hebdomadaire,QC,Montréal,,Independant,(514) 385-5982 ,,H3L 1C1,,(514) 389-5944,"211, boul. Henri-Bourassa E., 2e étage "
459,Habitabec Plus,Périodique,Independant,,Périodique,Québec,Hebdomadaire,QC,Sainte-Foy,,Independant,(418) 659-2458,,G1X 1T6,,(418) 659-4810,"3162, de Chavigny "
460,Hanca Times,Pér,Indépendant,admin@hanca.com,Pér,Montréal,Hebdomadaire,QC,Montreal,Média ethnique,Indépendant,514 484-2288,www.hanca.com,H4B 2M5,,514 489-3337,"333, Cavendish, #115 "
461,Hebdo de Saint-Tite / Normandie,Hebdo régional,,,Hebdo régional,,,QC,Saint-Tite,,,(819) 537-5471,,G0X 3H0,,(819) 537-5111,"494, Notre-Dame, C.P. 130 "
462,Hebdo du Cap-de-la-Madeleine /Trois Rivières,Hebdo régional,,,Hebdo régional,Mauricie,,QC,Cap-de-la-Madeleine,,,(819) 379-0705,,G8T 2E8,,(819) 379-1490,"44, de la Fonderie "
463,Hebdo Vedettes,Périodique,,,Périodique,Montréal,,QC,Montréal,,,(514) 597-1775,,H2H 2L5,,(514) 597-2022,"4305, D'Iberville, #201 "
464,Hebdos TC Media - Direction régionale Est métropolitain,Groupe de presse,TC Media,redaction_est@tc.tc,Groupe de presse,Montréal,,QC,Montréal,,TC Media,514 899-5887,http://tctranscontinental.com/fr/contact/tc-media/local-solutions ,H1E 2S7,,514 643-2300,"8000, avenue Blaise-Pascal "
465,HEC Montréal - Projet Quebecor,Maison d'enseignement,,,Maison d'enseignement,,,QC,Montréal,,,514 340-6411,,H3T 2A7,,514 340-6000,3000. Chemin de la Côte-Sainte-Catherine 
466,Hellas SKY Canada,Agence,Indépendant,ekoronis@hotmail.com,Agence,Montréal,,QC,Montréal,,Indépendant,(514) 490-0385,http://hscnews.da.ru,H3S 2V7,,(514) 495-9764,"5775, Wilderton, #501 "
467,Historia,Tél,Ind./Petit groupe,,Tél,Montréal,,QC,Montréal,,Ind./Petit groupe,,www.historiatv.com,H3A 3J6,Histoire,514-904-4099,
468,Hodhod,Internet,Indépendant,,Internet,Montréal,,QC,Westmount,Média communautaire,Indépendant,,http://hodhod.ca,H3Z 3J8,,438 993-1344,4075 Rue Sainte-Catherine #133 
469,Homme,Magazine,Ind./Petit groupe,fredc@lexismedia.ca,Magazine,Montérégie,,,Saint-Bruno,,Ind./Petit groupe,,www.hommemagazine.ca,J3V 3T5,Style de vie,514 394-7156,"1428, Montarville, #202 "
470,Horizon,Périodique,Indépendant,horizonweekly@bellnet.ca,Périodique,Montréal,Hebdomadaire,QC,Montréal,Média ethnique,Indépendant,514 332-4870,www.horizonweekly.ca,H4J 1L5,,514 332-3757,"3401, Olivar-Asselin "
471,Horizon Armenian Weekly ,Pér,Indépendant,editor@horizonweekly.ca,Pér,Montréal,Hebdomadaire,QC,Montréal,Média communautaire,Indépendant,514 332-4870,www.horizonweekly.ca,H4J 1L5,,514 332-3757,"3401, Olivar-Asselin "
472,Horizon Weekend,Internet,Indépendant,contact@horizonweekend.ca,Internet,Montréal,,,,,Indépendant,,www.horizonweekend.ca,,,450 466-1010,
473,Hors Champ,Internet,,,Internet,,,,,,,,www.horschamp.qc.ca,,,,
474,Hour,Périodique,Indépendant,info@hour.ca,Périodique,Montréal,Hebdomadaire,QC,Montréal,,Indépendant,514 848-9004,www.hour.ca,H3B 1A5,Actualités - Arts et culture,514 848-0777,"355, Sainte-Catherine O. 7e étage"
475,HRImag / Groupe PRESTIGE Médias,Magazine,Indépendant,redaction@hrimag.com,Magazine,Québec,6 fois l'an,QC,Québec,,Indépendant,418 688-3190,www.hrimag.com,G1S 1S1,,418 688-5777,"305, boulevard René-Lévesque Ouest "
476,Huffington Post Québec,,,nouvelles@huffingtonpost.com,,Montréal,,QC,Montréal,,,,http://quebec.huffingtonpost.ca/,H3A 0A7,,514 843-1361,"1801 avenue McGill College, #740 "
477,ici,Périodique,Quebecor,ici@ici-mirror.com,Périodique,Montréal,Hebdomadaire,QC,Montréal,,Quebecor,514-393-3756,www.icimontreal.com,H2Y 4B4,Actualités - Arts et culture - Société,(514) 393-1010,"465, McGill 3e étage"
478,Ici Lanaudière,Périodique,Indépendant,ventes@icilanaudiere.com,Périodique,Lanaudière,4 fois l'an,QC,Saint-Damien,,Indépendant,,,J0K 2E0,,(450) 492-4333,C.P. 894 
479,Ici Maintenant,Hebdo régional,Indépendant,,Hebdo régional,Laurentides,6 fois l'an,QC,Bromont,Média communautaire,Indépendant,(450) 534-5568,,J0E 1L0,,(450) 534-5566,"1410, route Pierre-Laporte "
480,ICI Musique,Agence,Radio-Canada,,Agence,,,QC,Montréal,,Radio-Canada,,icimusique.ca,H2L 2M2,,,"1400, boul. René-Lévesque E. "
481,Icotop,Télévision,Indépendant,info@icotop.com,Télévision,Montréal,,QC,Montréal,,Indépendant,514 495-4454,,H2V 4H9,Éducation - Famille,514 495-9067,"6700, av. du Parc, #300 "
482,Idéacom,Télévision,Indépendant,ideacom@bellnet.ca,Télévision,Montréal,,QC,Montréal,,Indépendant,514 849-0776,,H2L 3K5,Documentaires,514 849-6966,"1000, Amherst, #300 "
483,Idée de mon jardin,Magazine,Quebecor,kathleenmichaud@tva-publications.com,Magazine,Montréal,4 fois l'an,QC,Longueil,,Quebecor,514 270-7079,www.canoe.com,J4K 5G7,,514 848-7164,"1010, de Serigny "
484,Idées de ma maison,Magazine,Quebecor,veronique.leblanc@tva.ca,Magazine,Montréal,10 fois l'an,QC,Longueuil,,Quebecor,514 270-9618,ideesdemamaison.com,J4K 5G7,Décoration,514 270-1100,"1010, de Sérigny "
485,Il Cittadino Canadese,Périodique,Indépendant,journal@cittadinocanadese.com,Périodique,Montréal,Hebdomadaire,QC,Saint-Léonard,Média ethnique,Indépendant,514 253-6574,www.cittadinocanadese.com,H1S 3B1,Communauté italienne,514 253-2332,"6020, Jean-Talon E., #710 "
486,Il Rincontro,Magazine,Indépendant,tony.vellone@videotron.ca,Magazine,Montréal,Mensuel,QC,Montréal,Média ethnique,Indépendant,514 344-8238,www.ilrincontro.com,H3S 2L8,Communauté italienne,514 739-4213,"6675, av. Wilderton "
487,Image de la Mauricie,Magazine,Indépendant,publgminc@qc.aira.com,Magazine,Mauricie,6 fois l'an,QC,Cap-de-la-Madeleine,,Indépendant,(819) 374-2263,,G8T 1K9,Affaires sociales - Arts et culture,(819) 378-2176,"564, des Grandes Prairies "
488,Image média Mauricie,Agence,Indépendant,image-media@tr.cgocable.ca,Agence,Mauricie,,QC,Trois-Rivières,,Indépendant,819 694-7570,,G8Y 6Y7,,819 699 2157,5725. Laflamme 
489,Image Stock International,Agence,,,Agence,Montréal,,QC,Verdun,,,(514) 483-0823,,H3E 1G1,,(514) 948-7023,"520, de Gaspé, #404 "
490,Images,Périodique,Indépendant,images@generation.net,Périodique,Montréal,4 fois l'an,QC,Montréal,,Indépendant,(514) 842-5647,www.generation.net/~images,H2Y 1S1,,(514) 842-7127,"400, Saint-Jacques O., #204 "
491,Images Créoles,Télévision,Independant,,Télévision,Montréal,,QC,Outremont,,Independant,(514) 326-3024,,H2V 2C1,,(514) 282-8029,"568, Côte-Sainte-Catherine "
492,IMAGESPIC,Internet,Indépendant,imagespic@imagespic.com ,Internet,Étranger,,,,,Indépendant,,imagespic.photoshelter.com,,,,
493,Imagine Art Rives,Périodique,,,Périodique,Montréal,,QC,Richelieu,,,(514) 447-1555,,J3L 3S9,,(514) 447-1558,"195, 12e Avenue "
494,Impact Abitibi,Hebdo régional,,,Hebdo régional,,,QC,Amos,,,(819) 727-2932,,J9T 1T9,,(819) 727-9499,"4ième, Avenue O., "
495,Impact Campus,Pér,Indépendant,redaction@impactcampus.ca,Pér,Québec,Hebdomadaire,QC,Québec,Média étudiant,Indépendant,,www.impactcampus.qc.ca,G1V 0B4,Actualités - Arts et culture - Éducation,418 656-5079,"Local 1244, Pavillon Maurice-Pollack Université Laval Université Laval"
496,Impression,Hebdo régional,,,Hebdo régional,Montréal,,QC,Montréal,,,(514) 523-5367,,H2K 1W1,,(514) 523-4397,"2348, Ontario E. "
497,Index-Design,Internet,Indépendant,redaction@index-design.ca,Internet,Montréal,,QC,Montréal,,Indépendant,,https://www.index-design.ca/,H2W 1Z3,,438 794-3302,"4316, boul St-Laurent, 4e étage "
498,Indispensable des événements corporatifs,Magazine,Indépendant,,Magazine,Montréal,2 fois l'an,QC,Montréal,,Indépendant,(514) 273-7519,,H2R 2S7,,(514) 278-5639,"7518, Christophe-Colomb "
499,Info 690,Radio,Cogeco,nouvelles@info690.com,Radio,Montréal,,QC,Montréal,,Cogeco,514 849-0733,www.info690.com,H5A 1M1,,514 787-0690 ,"800, De la Gauchetière O., #1100 "
500,Info Aéro Québec,Internet,Indépendant,p.cauchi@infoaero.net,Internet,Montréal,,QC,Outremont,,Indépendant,,www.infoaeroquebec.net,H2V 4V2,,514 738-5461,C.P 48847 CSP Outremont 
501,"Info Bell, NRJ & Rouge Fm Trois-Rivières",Radio,Bell Media,nouvelles.mauricie@bellmedia.ca,Radio,Mauricie,,QC,Trois-Rivières,,Bell Media,819 378-1360,www.radionrj.ca/info,G9A 6J4,,819 378-1023,"1500, Royale, #260 2e étage"
502,Info Dimanche,Hebdo régional,Néomédia.com,journalistes@infodimanche.com,Hebdo régional,Bas-St-Laurent,Hebdomadaire,QC,Rivière-du-Loup,,Néomédia.com,418 862-6165,www.infodimanche.com,G5R 1C6,Affaires régionales,418 862-1911,"72, Fraser "
503,Info07.com,Hebdo régional,TC Media,redaction.outaouais@tc.tc,Hebdo régional,Outaouais,Hebdomadaire,QC,Saint-André-Avellin,,TC Media,,www.info07.com,J0V 1W0,Affaires régionales,819 568-7544,"3, rue Principale "
504,Infopresse ,Magazine,Indépendant,redaction@infopresse.com,Magazine,Montréal,10 fois l'an,QC,Montréal,,Indépendant,514 842-2422,www2.infopresse.com,H2W 1Z3,Communications - Marketing - Publicité,514 842-5873,"4316, boul. Saint-Laurent "
505,Inform Action Films,Tél,Indépendant,info@informactionfilms.com,Tél,Montréal,,QC,Montréal,,Indépendant,514 284-0772,www.informactionfilms.com,H3B 1A7,Documentaires,514 284-0441,"460, rue ste-Catherine Ouest, #919 "
506,Informateur Rivière-des-Prairies,Hebdo régional,TC Media,redaction_est@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Montréal,,TC Media,514 899-5887,journalmetro.com/local/riviere-des-prairies,H1E 2S7,Affaires régionales,514 643-2300,"8000, Blaise-Pascal "
507,Information-Échange,Périodique,Indépendant,,Périodique,Bas-St-Laurent,Mensuel,QC,Saint-Tharcisius,Média communautaire,Indépendant,aucun,,G0J 3G0,Communautaire,(418) 629-5500,"135, rang 5 Blais N. "
508,InfoSaguenay,Internet,Indépendant,contact@infosaguenay.com,Internet,Saguenay-Lac-St-Jean,,,,,Indépendant,,http://www.infosaguenay.com,,affaires régionales,,
509,Innuvelle,,Indépendant,innuvelle@globetrotter.net,,Côte-Nord,Mensuel,QC,Sept-Iles,Média communautaire,Indépendant,418 962-3575,,G4R 5P9,Affaires régionales - Autochtones,418 962-3535,"108B, boul. Montagnais "
510,Inouï,Magazine,Indépendant,,Magazine,,,QC,Montréal,,Indépendant,,,H2S 1W9,,,"305 rue de Bellechasse, #200 "
511,Insieme,Pér,Indépendant,insieme@total.net,Pér,Montréal,Hebdomadaire,QC,Montréal-Nord,Média ethnique,Indépendant,514 328-6562,,H1H 1T3,Communautaire - Communauté italienne,514 328-2062,"4358, De Charleroi "
512,"Inter, art actuel",Magazine,Indépendant,info@inter-lelieu.org,Magazine,Québec,3 fois l'an,QC,Québec,,Indépendant,418 529-6933,http://www.inter-lelieu.org,G1K 6M4,Arts et culture,418 529-9680,"345, du Pont "
513,Internest,Internet,,,Internet,,,,,,,,www.internest.qc.ca,,,,
514,iPolitics,Internet,Indépendant,,Internet,Canada anglais,,ON,Ottawa,,Indépendant,613 482-0463,www.ipolitics.ca,K1P 1A4,,613 216-9638,"45 O'Connor St, #530 World Exchange Plaza"
515,Ishtar,Périodique,Indépendant,amir-a@algonet.ca,Périodique,Montréal,4 fois l'an,QC,Ville Saint-Laurent,,Indépendant,,www.assyria.se/ishtar,H4R 1X1,,,"1430, Bégin "
516,It's a Bunny,Internet,,,Internet,,,,,,,,www.iti.qc.ca/iti/bunny,,,,
517,Italitali,Périodique,Indépendant,,Périodique,Montréal,Mensuel,QC,Montréal,Média ethnique,Indépendant,(514) 728-3731,,H1X 1G5,,(514) 728-3171,"3355, Beaubien E., #3 "
518,Jésus Marie et notre temps,Périodique,Indépendant,,Périodique,Montréal,,QC,Montréal,,Indépendant,(514) 271-0557,www.total.net/jmarient/index.htm,H2T 1V1,Religion,(514) 271-7731,"5055, St-Dominique "
519,J'aime lire,Périodique,Indépendant,redaction@bayardcanada.ca,Périodique,Montréal,10 fois l'an,QC,Montréal,,Indépendant,514 278-3030,www.bayardjeunesse.ca,H2H 2S2,,514 844-2111,"4475, Frontenac  "
520,Jornal Do Emigrante,Pér,Indépendant,jornaldoemigrante@videotron.ca,Pér,Montréal,Bimensuel,QC,Montréal,Média ethnique,Indépendant,514 843-3863,,H2W 1Y8,,514 843-3863,"4134, boul. Saint-Laurent "
521,Journ. de la Rivière du Nord,Hebdo régional,,,Hebdo régional,,,QC,Prévost,,,,,J0R 1T0,,,"2899, boul. Curé-Labelle, #102-B "
522,Journal À Cause?,Périodique,Indépendant,coopfjordlac@qc.aira.com,Périodique,Saguenay-Lac-St-Jean,Mensuel,QC,Chicoutimi,Média communautaire,Indépendant,(418) 543-3489,,G7H 1R8,Communautaire,(418) 543-2992,"152, Racine E. "
523,Journal Altitude,Hebdo régional,Indépendant,journalaltitude@cgocable.ca,Hebdo régional,Laurentides,Mensuel,QC,Saint-Donat,,Indépendant,819 424-3615,www.st-donat.com/journal.html,J0T 2C0,Affaires régionales,819 424-2610,"365, Principale "
524,Journal Chefs d'entreprises,,Indépendant,pdrapeau@chefs-entreprises.ca,,,,QC,Québec,,Indépendant,418-456-6385 (cell),www.chefs-entreprises.ca,G1W 0C1,,418 456-6385,"2828, boulevard Laurier, #200 "
525,Journal Commerce International,Magazine,Indépendant,journalci@videotron.net,Magazine,Montréal,6 fois l'an,QC,Montréal,,Indépendant,(514) 739-8809,http://journalci.infinit.net,H2V 2Y1,,(514) 739-2436,"1495, av. Van Horne C.P. 48875"
526,Journal Constructo,Pér,TC Media,info@groupeconstructo.com,Pér,Montréal,Bihebdomadaire,QC,Ville Saint-Laurent,,TC Media, 514 339-2267,www.constructo.ca,H4N 1X7,Construction - Rénovation,514 745-5720,"1500, boul. Jules-Poitras, #200 "
527,Journal d'affaires le Défi inc.,,,journalledefi@bellnet.ca,,Montréal,Mensuel,QC,Laval,,,(450) 901-0139,,H7G 2V4,,(450) 901-0130,"512, boul. des Laurentides #202"
528,Journal de Magog,,TC Media,dany.jacques@tc.tc,,,,QC,Magog,,TC Media,819 843-2608,lerefletdulac.com,J1X 5B6,,819 843-3500,"53, rue Centre, #300 "
529,Journal de Rosemont / Petite Patrie,Hebdo régional,TC Media,redaction_est@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Montréal,,TC Media,514 899-5887,journalmetro.com/local/rosemont-la-petite-patrie,H1E 2S7,Affaires régionales,514 643-2300,"8000, Blaise-Pascal "
530,Journal de St-Michel,Hebdo régional,TC Media,redaction_est@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Montréal,,TC Media,514 899-5887,www.journaldestmichel.com,H1E 2S7,Affaires régionales,514 643-2300,"8000, Blaise-Pascal "
531,Journal des 50 ans +,Magazine,,journal50plus@videotron.ca,Magazine,Québec,4 fois l'an,QC,Saint-Nicolas,,,(418) 831-6247,,G7A 4E9,,(418) 836-7688,"1229, Marie-Victorin "
532,Journal des Sportifs,Périodique,TC Media,sportifs@journalsportifs.qc.ca,Périodique,Montréal,Mensuel,QC,Montréal,,TC Media,(514) 259-3231,www.journalsportifs.com,H1N 2Z0,Sports & Loisirs,(514) 259-2976,"3365, de Granby C. P. 51086"
533,Journal Droit de parole,Pér,Indépendant,info@droitdeparole.org,Pér,Québec,9 fois l'an,QC,Québec,Média communautaire,Indépendant,,www.droitdeparole.org,G1K 1K2,Affaires municipales - Affaires sociales - Communautaire,418 648-8043,"266, Saint-Vallier O.   "
534,Journal du Barreau,,,journaldubarreau@barreau.qc.ca,,Montréal,Mensuel,QC,Montréal,,,514-954-3777,www.barreau.qc.ca/journal,H2Y 3T8,,(514) 954-3400 ou 1-800-,"445, boul. Saint-Laurent "
535,Journal Épik,Pér,Indépendant,epik@videotron.ca,Pér,Bas-St-Laurent,6 fois l'an,QC,Cacouna,Média communautaire,Indépendant,,http://journalepik.com,G0L 1G0,Communautaire,418 862-3061,"628, rue du Patrimoine Ouest C. P. 2025"
536,Journal Haute-Côte-Nord ,Pér,Indépendant,information@journalhcn.com,Pér,Côte-Nord,Hebdomadaire,QC,Forestville,,Indépendant,418 587-6407,www.journalhcnouest.com,G0T 1E0,Affaires régionales,418 587-2090,"38, route 138 O. "
537,Journal Ile-des-Soeurs,Hebdo régional,Indépendant,,Hebdo régional,Lanaudière,Hebdomadaire,QC,Saint-Lambert,,Indépendant,aucun,,J4P 2J5,,450 671-0014,"574, Victoria "
538,Journal Industriel du Québec,Magazine,Rogers,lboily.rogers@videotron.ca,Magazine,Montréal,10 fois l'an,QC,Montréal,,Rogers,450 785-2591,www.industriel.qc.ca,H3B 4G7,Industrie,450 785-2590,"1200, av. McGill College Local 800"
539,Journal L'accès,,,web@journalacces.ca,,Laurentides,,QC,Piedmont,,,,http://www.journalacces.ca,JOR 1K0,,450 227-7999,"727, Principale  "
540,Journal l'Envol,Pér,Indépendant,envol.desmonts@sympatico.ca,Pér,Outaouais,Mensuel,QC,Val-des-Monts,,Indépendant,819 671-7463,,J8N 7B2,,819 671- 1502,"12, Potvin "
541,Journal l'Horizon,Hebdo régional,Indépendant,info@journallhorizon.com,Hebdo régional,Bas-St-Laurent,,QC,Trois-Pistoles,,Indépendant,,www.journallhorizon.com,G0L 4K0,,418 851-3777,"57, rang 3 Est "
542,Journal L'Info Saint-Élie-d'Orford,Pér,Indépendant,journalinfo@cooptel.qc.ca,Pér,Estrie,10 fois l'an,QC,Sherbrooke,Média communautaire,Indépendant,,www.linfodesaintelie.org,J1R 1A1,,819 820-9663,C. P. 157 Succursale de Saint-Élie-d’Orford
543,Journal l'Opinion,Hebdo régional,,opinion@jopinion.com,Hebdo régional,Québec,Hebdomadaire,QC,Drummondville,,,(819) 475-1183,www.jopinion.com,J2B 1G6,,(819) 475-3334,"402, Lindsay #A "
544,Journal Le Citoyen,Magazine,Indépendant,redaction@journaldescitoyens.ca,Magazine,Laurentides,Mensuel,QC,Prévost,Média communautaire,Indépendant,,www.jdc.quebec,J0R 1T0,Communautaire,450 602-2794,"1529, montée Félix-Leclerc "
545,Journal le Citoyen de la Vallée d'or,Pér,TC Media,www.lechoabitibien.ca,Pér,Abitibi-Témiscamingue,,QC,Val-d'Or,,TC Media,819 525-0361,,J9P 4H4,,819 825-3755,"1462, de la Québécoise "
546,Journal Le Courrier ,Hebdo régional,TC Media,,Hebdo régional,Laurentides,Hebdomadaire,QC,Blainville,,TC Media,450 434-3142,www.journallecourrier.com,J7C 4G6,Affaires régionales,450 434-4144,"31, de la Seigneurie "
547,Journal le Jacques-Cartier,Pér,TC Media,redaction_quebec@tc.tc,Pér,Québec,Mensuel,QC,Québec,,TC Media,,www.lejacquescartier.com,G2J 1C2,,418 840-1472,"717, Bouvier, #107 "
548,Journal Le Manic,Hebdo régional,Indépendant,information@lemanic.ca,Hebdo régional,Côte-Nord,,QC,Baie-Comeau,,Indépendant,418 589-1211,www.lemanic.ca,G5C 1X5,,418 589-2090 ,770 de Bretagne 
549,Journal Le Manic,,,javerville@lemanic.ca,,Côte-Nord,,,Baie-Comeau,,,,www.lemanic.ca,G4Z 1N8,,"418 589-2090 , #222",770 de Bretagne 
550,Journal Le Nord,Hebdo régional,TC Media,jer.redaction@tc.tc,Hebdo régional,Laurentides,Hebdomadaire,QC,Saint-Jérôme,,TC Media,450 438-4174,www.journallenord.com,J7Z 4Z8,Affaires régionales,450 438-8383,"175, rue Saint-Georges "
551,Journal Le Nord-Côtier,Hebdo régional,Indépendant,journal@lenord-cotier.com,Hebdo régional,Côte-Nord,,QC,Sept-îles,,Indépendant,418 960-2090,www.lenord-cotier.com,G4R 1Y2,,418 960-2090,"719, boul. Laure "
552,Journal Le Soufflet,,Indépendant,journal.lesoufflet@gmail.com,,Bas-St-Laurent,,QC,Rimouski,Média étudiant,Indépendant,,lesoufflet.weebly.com,G5L 3A1,,"418 723-1986, #1135","300, allée des Ursulines, #E. 114,1 "
553,Journal Métro,Quotidien,TC Media,redaction@journalmetro.com,Quotidien,Montréal,5 jours par semaine,QC,Montréal,,TC Media,514 286-9396,www.journalmetro.com,H3B 4X9,,514 286-1066,"1100, boul René-Lévesque O, #24ème étage "
554,Journal MRG,Pér,Indépendant,info@journalmrg.com,Pér,Estrie,Mensuel,QC,Lac-Mégantic,,Indépendant,819 583-4123,www.journalmrg.com, G6B 1C,,819 583-2960,"4705, Laval, C.P. 122 "
555,Journal Pte-aux-Trembles,Hebdo régional,TC Media,,Hebdo régional,Montréal,Hebdomadaire,QC,Pointe-aux-Trembles,,TC Media,(514) 644-0666,,H1A 1C2,,(514) 644-8484,"13 307, Sherbrooke E.,  "
556,Journal Réseaux,,Indépendant,pdrapeau@journal-reseaux.ca,,Québec,Mensuel,QC,Québec,,Indépendant,418 780-0994,www.journal-reseaux.ca,G1V 1T6,,418 780-0993,"2480, ch. Sainte-Foy, #210 "
557,Journal St-Louis et Mile-End,Hebdo régional,Independant,,Hebdo régional,Montréal,Bimensuel,QC,Montréal,,Independant,(514) 844-6283,,H2W 2A6,,(514) 844-0388,"4181, Saint-Dominique "
558,Journal Vision,,Éditions André Paquette,vision@eap.on.ca,,Canada anglais,,On,Rockland,,Éditions André Paquette,,http://www.editionap.ca/en/newspaper/36,K0A 1L5,,613 446-6456,"1315, rue Laurier C.P. 897"
559,Journal Zornica,,Indépendant,news.zornica@gmail.com,,Montréal,Mensuel,QC,Côte-Saint-Luc,Média ethnique,Indépendant,,www.zornica.com,H4W 1P2,,514 369-0589,"7448, ch. Kingsley, #501 "
560,Journaldesvoisins.com,Internet,,journaldesvoisins@gmail.com,Internet,Montréal,,QC,Montréal,Média communautaire,,514 385-6122,www.journaldesvoisins.com,H3L 2S3,,514-770-0858,"10369, Clark "
561,"K Y K 95,7 FM",Radio,RNC Media,annietremblay@rncmedia.ca,Radio,Saguenay-Lac-St-Jean,,QC,Saguenay,,RNC Media,418 543-0225,www.kykradiox.com,G7H 6K9,,418 543-8912,"345, rue des Saguenéens, #160 "
562,K Y Q - FM,Radio,Ind./Petit groupe,journaliste@kyqfm.com lydia@kyqfm.com (entrevues),Radio,Québec,,QC,Plessisville,,Ind./Petit groupe,819 362-3414,www.kyqFM.com,G6L 2Y6,,819 362-3737,"1646, Saint-Laurent, C.P. 142 "
563,Kaléidoscope,Magazine,,mpsuzanne.lalande@gmail.com,Magazine,Montréal,3 fois l'an,QC,Montréal,,,,www.mediakaleidoscope.org,H2P 1E2,,"514 864-1600, #3553","190, Boul. Crémazie E. "
564,Kaos Films Worldwide inc.,Tél,Indépendant,jcurtin@kaosfilms.com,Tél,Montréal,,QC,Montréal,,Indépendant,,www.kaosfilms.com,H2L 3M6,,514 848-9944,"3846, av. du Parc-Lafontaine "
565,Kaosmag,Internet,Indépendant,redaction@kaosmag.com,Internet,Montréal,Hebdomadaire,QC,Montréal,,Indépendant,(514) 288-5941,www.kaosmag.com,,Actualités - Arts et culture,(514) 288-7595,
566,Keghart,,Indépendant,info@bolsahay.ca,,Montréal,4 fois l'an,QC,Montréal,Média ethnique,Indépendant,514 337-2835,,H3M 1T1,,514 337-0831,"2855, rue Victor-Doré "
567,Korean Newsweek,,Indépendant,knewsweek@gmail.com,,Montréal,Hebdomadaire,QC,Montréal,Média ethnique,Indépendant,514 879-8666,,H3H 1M7,,514 879-3338,2172 Ste-Catherine Ouest 
568,Korus Films,Télévision,Indépendant,mch@total.net,Télévision,Montréal,,QC,Montréal,,Indépendant,(514) 522-1604,,H2H 1K8,,(514) 522-3030,"2314, Mont-Royal E. "
569,L C N (TVA),Télévision,Quebecor,lcn@tva.ca,Télévision,Montréal,,QC,Montréal,,Quebecor,514 598-6073,http://lcn.canoe.com/,H2L 4P2,,514 598-2869,"1600, boul. de Maisonneuve E. 10e étage"
570,Lévisien,Périodique,,,Périodique,Chaudière-Appalaches,Mensuel,QC,Sainte-Marie,,,(418) 387-5223,www.dynamiques.com,G6E 1B6,,(418) 387-6969,"450, 2e Avenue Parc Industriel"
571,L'Échappée belle,Périodique,Indépendant,lechappeebelle@sympatico.ca,Périodique,Montérégie,Mensuel,QC,Marieville,,Indépendant,(450) 460-3025,,J3M 1P2,,(450) 460-0192,"872, ch. du Ruisseau-Barré "
572,L'Écho de la Rive-Nord,Hebdo régional,Quebecor,redaction.echorivenord@hebdosquebecor.com,Hebdo régional,Laurentides,,Qc,Sainte-Thérèse,,Quebecor,450 818-7582,www.lechodelarivenord.canoe.ca,J7E 2X7,,450 818-7575,"204 boul. Labelle, #208 "
573,L'Écho de Saint-Bruno,Hebdo régional,Indépendant,majeri@pageweb.qc.ca,Hebdo régional,Montérégie,Mensuel,QC,Saint-Bruno,Média communautaire,Indépendant,(450) 653-5118,www.pageweb.qc.ca/echo-sb,J3V 4E4,,,"1688, place Seigneuriale "
574,L'Écho de Saint-Eustache,Hebdo régional,Quebecor,luc.belanger@hebdosquebecor.com,Hebdo régional,Laurentides,,QC,Sainte-Thérèse,,Quebecor,,,J7E 2X7,,450 818-7575,"204, boulevard Labelle, #208 "
575,L'Écho de Saint-François,Magazine,Indépendant,echosf@globetrotter.net,Magazine,Chaudière-Appalaches,Mensuel,QC,Saint-François-de-la-Rivière du Sud,Média communautaire,Indépendant,418 259-2177,,G0R 3A0,Communautaire,418 259-2177,"534, Ch. Saint-François O. C.P. 128"
576,L'Écho de Shawinigan,Hebdo régional,Quebecor,,Hebdo régional,,,QC,Shawinigan,,Quebecor,819 731-0328,,G9N 1G2,,819 731-0327,"795, 5ème rue, #101 "
577,L'Écho de Trois-Rivères,Hebdo régional,Quebecor,,Hebdo régional,Mauricie,,QC,Trois-Rivères,,Quebecor,819 371-4804,,G8Y 5N6,,819 371-4823,"3625, boul du Chanoine-Moreau "
578,L'éclosion,Périodique,,,Périodique,Québec,,Canada,Québec,Média étudiant,,,,,,418-658-5389 poste 2436,2410 chemin Ste-Foy  
